Student{STUDENTID = 28, NAME = Justin Conrad, COURSE = COMPSCI 310, GRADE = 99}
Student{STUDENTID = 37, NAME = Simone Scott, COURSE = COMPSCI 312, GRADE = 91}
Student{STUDENTID = 19, NAME = Blair Heaton, COURSE = COMPSCI 309, GRADE = 87}
Student{STUDENTID = 91, NAME = Donald Schultz, COURSE = COMPSCI 321, GRADE = 87}
Student{STUDENTID = 79, NAME = Kerys John, COURSE = COMPSCI 319, GRADE = 87}
Student{STUDENTID = 64, NAME = Jameson Best, COURSE = COMPSCI 316, GRADE = 86}
Student{STUDENTID = 73, NAME = Alys Mccormick, COURSE = COMPSCI 318, GRADE = 85}
Student{STUDENTID = 97, NAME = Angus Navarro, COURSE = COMPSCI 322, GRADE = 85}
Student{STUDENTID = 16, NAME = Allan Povey, COURSE = COMPSCI 308, GRADE = 83}
Student{STUDENTID = 61, NAME = Antoine Cummings, COURSE = COMPSCI 316, GRADE = 83}
Student{STUDENTID = 88, NAME = Kwame Mckenzie, COURSE = COMPSCI 320, GRADE = 83}
Student{STUDENTID = 25, NAME = Angelina Shepard, COURSE = COMPSCI 310, GRADE = 82}
Student{STUDENTID = 4, NAME = Elsie Medina, COURSE = COMPSCI 306, GRADE = 81}
Student{STUDENTID = 76, NAME = Simran Hahn, COURSE = COMPSCI 318, GRADE = 80}
Student{STUDENTID = 10, NAME = Darrell Newton, COURSE = COMPSCI 307, GRADE = 79}
Student{STUDENTID = 43, NAME = Priyanka Nieves, COURSE = COMPSCI 313, GRADE = 79}
Student{STUDENTID = 100, NAME = Simeon Rowley, COURSE = COMPSCI 322, GRADE = 78}
Student{STUDENTID = 52, NAME = Eloisa Serrano, COURSE = COMPSCI 314, GRADE = 76}
Student{STUDENTID = 49, NAME = Ihsan Burt, COURSE = COMPSCI 314, GRADE = 74}
Student{STUDENTID = 22, NAME = Joy Ayers, COURSE = COMPSCI 309, GRADE = 74}
Student{STUDENTID = 34, NAME = Yassin Mcintyre, COURSE = COMPSCI 311, GRADE = 74}
Student{STUDENTID = 94, NAME = Maiya Gallegos, COURSE = COMPSCI 321, GRADE = 73}
Student{STUDENTID = 67, NAME = Iqra Hodson, COURSE = COMPSCI 317, GRADE = 72}
Student{STUDENTID = 70, NAME = Tegan Fox, COURSE = COMPSCI 317, GRADE = 72}
Student{STUDENTID = 46, NAME = Mitchell Duran, COURSE = COMPSCI 313, GRADE = 71}
Student{STUDENTID = 85, NAME = Aamina Mclaughlin, COURSE = COMPSCI 320, GRADE = 69}
Student{STUDENTID = 55, NAME = Kelsey Ware, COURSE = COMPSCI 315, GRADE = 69}
Student{STUDENTID = 58, NAME = Arielle Pope, COURSE = COMPSCI 315, GRADE = 67}
Student{STUDENTID = 82, NAME = Braxton Colley, COURSE = COMPSCI 319, GRADE = 66}
Student{STUDENTID = 1, NAME = Sacha Rich, COURSE = COMPSCI 306, GRADE = 66}
Student{STUDENTID = 40, NAME = Elize Robin, COURSE = COMPSCI 312, GRADE = 65}
Student{STUDENTID = 7, NAME = Liyah Preece, COURSE = COMPSCI 307, GRADE = 63}
Student{STUDENTID = 31, NAME = Aryaan Coates, COURSE = COMPSCI 311, GRADE = 58}
Student{STUDENTID = 13, NAME = Luther Thornton, COURSE = COMPSCI 308, GRADE = 53}
