Student{STUDENTID = 89, NAME = Alison Murray, COURSE = APMTH 134, GRADE = 93}
Student{STUDENTID = 59, NAME = Amber-Rose Austin, COURSE = APMTH 129, GRADE = 93}
Student{STUDENTID = 68, NAME = Aran Rice, COURSE = APMTH 131, GRADE = 89}
Student{STUDENTID = 44, NAME = Brandan Mcbride, COURSE = APMTH 127, GRADE = 89}
Student{STUDENTID = 32, NAME = Veronica Dodd, COURSE = APMTH 125, GRADE = 88}
Student{STUDENTID = 47, NAME = Abbi Perkins, COURSE = APMTH 127, GRADE = 84}
Student{STUDENTID = 92, NAME = Safa Carrillo, COURSE = APMTH 135, GRADE = 84}
Student{STUDENTID = 65, NAME = Jemma Shannon, COURSE = APMTH 130, GRADE = 81}
Student{STUDENTID = 98, NAME = Milo Whittington, COURSE = APMTH 136, GRADE = 81}
Student{STUDENTID = 56, NAME = Amanda Mathis, COURSE = APMTH 129, GRADE = 80}
Student{STUDENTID = 26, NAME = Sara Stacey, COURSE = APMTH 124, GRADE = 80}
Student{STUDENTID = 83, NAME = Ffion Jones, COURSE = APMTH 133, GRADE = 75}
Student{STUDENTID = 77, NAME = Landon Fields, COURSE = APMTH 132, GRADE = 75}
Student{STUDENTID = 20, NAME = Howard Goldsmith, COURSE = APMTH 123, GRADE = 74}
Student{STUDENTID = 86, NAME = Loretta Truong, COURSE = APMTH 134, GRADE = 74}
Student{STUDENTID = 14, NAME = Leia Browne, COURSE = APMTH 122, GRADE = 73}
Student{STUDENTID = 80, NAME = Myra Bryant, COURSE = APMTH 133, GRADE = 73}
Student{STUDENTID = 95, NAME = Desiree Rivers, COURSE = APMTH 135, GRADE = 72}
Student{STUDENTID = 74, NAME = Randall Deacon, COURSE = APMTH 132, GRADE = 72}
Student{STUDENTID = 53, NAME = Carwyn Decker, COURSE = APMTH 128, GRADE = 71}
Student{STUDENTID = 11, NAME = Monty Bloom, COURSE = APMTH 121, GRADE = 71}
Student{STUDENTID = 71, NAME = Johnnie Murillo, COURSE = APMTH 131, GRADE = 69}
Student{STUDENTID = 8, NAME = Penelope Brett, COURSE = APMTH 121, GRADE = 69}
Student{STUDENTID = 29, NAME = Hana Larson, COURSE = APMTH 124, GRADE = 67}
Student{STUDENTID = 41, NAME = Corban Dorsey, COURSE = APMTH 126, GRADE = 64}
Student{STUDENTID = 50, NAME = Husnain Hilton, COURSE = APMTH 128, GRADE = 64}
Student{STUDENTID = 35, NAME = Rida Hanson, COURSE = APMTH 125, GRADE = 63}
Student{STUDENTID = 38, NAME = Aine Bates, COURSE = APMTH 126, GRADE = 62}
Student{STUDENTID = 23, NAME = Flynn Morton, COURSE = APMTH 123, GRADE = 62}
Student{STUDENTID = 5, NAME = Emily Barber, COURSE = APMTH 120, GRADE = 61}
Student{STUDENTID = 62, NAME = Avneet Melendez, COURSE = APMTH 130, GRADE = 60}
Student{STUDENTID = 17, NAME = Eisa Grainger, COURSE = APMTH 122, GRADE = 59}
Student{STUDENTID = 2, NAME = Tazmin Morse, COURSE = APMTH 120, GRADE = 51}
